date,county,state,cases,deaths,newcases,newdeaths
2020-02-01,Suffolk,Massachusetts,1,0,1,0
2020-02-02,Suffolk,Massachusetts,1,0,0,0
2020-02-03,Suffolk,Massachusetts,1,0,0,0
2020-02-04,Suffolk,Massachusetts,1,0,0,0
2020-02-05,Suffolk,Massachusetts,1,0,0,0
2020-02-06,Suffolk,Massachusetts,1,0,0,0
2020-02-07,Suffolk,Massachusetts,1,0,0,0
2020-02-08,Suffolk,Massachusetts,1,0,0,0
2020-02-09,Suffolk,Massachusetts,1,0,0,0
2020-02-10,Suffolk,Massachusetts,1,0,0,0
2020-02-11,Suffolk,Massachusetts,1,0,0,0
2020-02-12,Suffolk,Massachusetts,1,0,0,0
2020-02-13,Suffolk,Massachusetts,1,0,0,0
2020-02-14,Suffolk,Massachusetts,1,0,0,0
2020-02-15,Suffolk,Massachusetts,1,0,0,0
2020-02-16,Suffolk,Massachusetts,1,0,0,0
2020-02-17,Suffolk,Massachusetts,1,0,0,0
2020-02-18,Suffolk,Massachusetts,1,0,0,0
2020-02-19,Suffolk,Massachusetts,1,0,0,0
2020-02-20,Suffolk,Massachusetts,1,0,0,0
2020-02-21,Suffolk,Massachusetts,1,0,0,0
2020-02-22,Suffolk,Massachusetts,1,0,0,0
2020-02-23,Suffolk,Massachusetts,1,0,0,0
2020-02-24,Suffolk,Massachusetts,1,0,0,0
2020-02-25,Suffolk,Massachusetts,1,0,0,0
2020-02-26,Suffolk,Massachusetts,1,0,0,0
2020-02-27,Suffolk,Massachusetts,1,0,0,0
2020-02-28,Suffolk,Massachusetts,1,0,0,0
2020-02-29,Suffolk,Massachusetts,1,0,0,0
2020-03-01,Suffolk,Massachusetts,1,0,0,0
2020-03-02,Suffolk,Massachusetts,1,0,0,0
2020-03-03,Suffolk,Massachusetts,1,0,0,0
2020-03-04,Suffolk,Massachusetts,1,0,0,0
2020-03-05,Suffolk,Massachusetts,1,0,0,0
2020-03-06,Suffolk,Massachusetts,4,0,3,0
2020-03-07,Suffolk,Massachusetts,4,0,0,0
2020-03-08,Suffolk,Massachusetts,9,0,5,0
2020-03-09,Suffolk,Massachusetts,10,0,1,0
2020-03-10,Suffolk,Massachusetts,20,0,10,0
2020-03-11,Suffolk,Massachusetts,20,0,0,0
2020-03-12,Suffolk,Massachusetts,22,0,2,0
2020-03-13,Suffolk,Massachusetts,26,0,4,0
2020-03-14,Suffolk,Massachusetts,27,0,1,0
2020-03-15,Suffolk,Massachusetts,31,0,4,0
2020-03-16,Suffolk,Massachusetts,42,0,11,0
2020-03-17,Suffolk,Massachusetts,42,0,0,0
2020-03-18,Suffolk,Massachusetts,51,0,9,0
2020-03-19,Suffolk,Massachusetts,72,0,21,0
2020-03-20,Suffolk,Massachusetts,87,1,15,1
2020-03-21,Suffolk,Massachusetts,108,1,21,0
2020-03-22,Suffolk,Massachusetts,126,2,18,1
2020-03-23,Suffolk,Massachusetts,154,3,28,1
2020-03-24,Suffolk,Massachusetts,234,3,80,0
2020-03-25,Suffolk,Massachusetts,342,3,108,0
2020-03-26,Suffolk,Massachusetts,448,4,106,1
2020-03-27,Suffolk,Massachusetts,631,4,183,0
2020-03-28,Suffolk,Massachusetts,843,5,212,1
2020-03-29,Suffolk,Massachusetts,940,5,97,0
2020-03-30,Suffolk,Massachusetts,1115,7,175,2
2020-03-31,Suffolk,Massachusetts,1373,8,258,1
2020-04-01,Suffolk,Massachusetts,1624,15,251,7
2020-04-02,Suffolk,Massachusetts,1896,21,272,6
2020-04-03,Suffolk,Massachusetts,2183,23,287,2
2020-04-04,Suffolk,Massachusetts,2429,28,246,5
2020-04-05,Suffolk,Massachusetts,2658,29,229,1
2020-04-06,Suffolk,Massachusetts,2929,33,271,4
2020-04-07,Suffolk,Massachusetts,3245,42,316,9
2020-04-08,Suffolk,Massachusetts,3600,50,355,8
2020-04-09,Suffolk,Massachusetts,4041,56,441,6
2020-04-10,Suffolk,Massachusetts,4534,73,493,17
2020-04-11,Suffolk,Massachusetts,4926,81,392,8
2020-04-12,Suffolk,Massachusetts,5359,88,433,7
2020-04-13,Suffolk,Massachusetts,5579,106,220,18
2020-04-14,Suffolk,Massachusetts,5872,120,293,14
2020-04-15,Suffolk,Massachusetts,6279,147,407,27
2020-04-16,Suffolk,Massachusetts,6820,166,541,19
2020-04-17,Suffolk,Massachusetts,7272,190,452,24
2020-04-18,Suffolk,Massachusetts,7696,214,424,24
2020-04-19,Suffolk,Massachusetts,8074,238,378,24
2020-04-20,Suffolk,Massachusetts,8314,263,240,25
2020-04-21,Suffolk,Massachusetts,8669,285,355,22
2020-04-22,Suffolk,Massachusetts,9060,318,391,33
2020-04-23,Suffolk,Massachusetts,9739,346,679,28
2020-04-24,Suffolk,Massachusetts,10724,372,985,26
2020-04-25,Suffolk,Massachusetts,11218,391,494,19
2020-04-26,Suffolk,Massachusetts,11543,424,325,33
2020-04-27,Suffolk,Massachusetts,11883,448,340,24
2020-04-28,Suffolk,Massachusetts,12140,469,257,21
2020-04-29,Suffolk,Massachusetts,12539,504,399,35
2020-04-30,Suffolk,Massachusetts,12890,524,351,20
2020-05-01,Suffolk,Massachusetts,13295,550,405,26
2020-05-02,Suffolk,Massachusetts,13606,569,311,19
2020-05-03,Suffolk,Massachusetts,13777,588,171,19
